Designator,Mid X,Mid Y,Rotation,Layer
D1,38.1,-58.5,0.0,bottom
D10,233.3625,-58.57875,0.0,bottom
D11,252.4125,-58.57875,0.0,bottom
D12,271.4625,-58.57875,0.0,bottom
D13,290.5125,-58.57875,0.0,bottom
D14,309.5625,-58.57875,0.0,bottom
D15,333.375,-58.57875,0.0,bottom
D16,357.1875,-58.57875,0.0,bottom
D17,40.48125,-77.62875,0.0,bottom
D18,66.675,-77.62875,0.0,bottom
D19,85.725,-77.62875,0.0,bottom
D2,61.9125,-58.57875,0.0,bottom
D20,104.775,-77.62875,0.0,bottom
D21,123.825,-77.62875,0.0,bottom
D22,142.875,-77.62875,0.0,bottom
D23,171.45,-77.62875,0.0,bottom
D24,190.5,-77.62875,0.0,bottom
D25,209.55,-77.62875,0.0,bottom
D26,238.125,-77.62875,0.0,bottom
D27,257.175,-77.62875,0.0,bottom
D28,276.225,-77.62875,0.0,bottom
D29,295.275,-77.62875,0.0,bottom
D3,80.9625,-58.57875,0.0,bottom
D30,314.325,-77.62875,0.0,bottom
D31,345.28125,-77.62875,0.0,bottom
D32,42.8625,-96.67875,0.0,bottom
D33,71.4375,-96.67875,0.0,bottom
D34,90.4875,-96.67875,0.0,bottom
D35,109.5375,-96.67875,0.0,bottom
D36,128.5875,-96.67875,0.0,bottom
D37,147.6375,-96.67875,0.0,bottom
D38,176.2125,-96.67875,0.0,bottom
D39,195.2625,-96.67875,0.0,bottom
D4,100.0125,-58.57875,0.0,bottom
D40,214.3125,-96.67875,0.0,bottom
D41,242.8875,-96.67875,0.0,bottom
D42,261.9375,-96.67875,0.0,bottom
D43,280.9875,-96.67875,0.0,bottom
D44,300.0375,-96.67875,0.0,bottom
D45,319.0875,-96.67875,0.0,bottom
D46,340.51875,-96.67875,0.0,bottom
D47,366.7125,-101.44125,0.0,bottom
D48,38.1,-115.72875,0.0,bottom
D49,61.9125,-115.72875,0.0,bottom
D5,119.0625,-58.57875,0.0,bottom
D50,83.34375,-115.72875,0.0,bottom
D51,107.15625,-115.72875,0.0,bottom
D52,150.01875,-120.49125,0.0,bottom
D53,190.5,-120.49125,0.0,bottom
D54,230.98125,-120.49125,0.0,bottom
D55,273.84375,-115.72875,0.0,bottom
D56,297.65625,-115.72875,0.0,bottom
D57,321.46875,-115.72875,0.0,bottom
D58,347.6625,-119.5,0.0,bottom
D59,366.7125,-119.5,0.0,bottom
D6,138.1125,-58.57875,0.0,bottom
D60,385.7625,-119.53875,0.0,bottom
D7,166.6875,-58.57875,0.0,bottom
D8,185.7375,-58.57875,0.0,bottom
D9,204.7875,-58.57875,0.0,bottom
SW1,38.1,-52.3875,0.0,top
SW10,233.3625,-52.3875,0.0,top
SW11,252.4125,-52.3875,0.0,top
SW12,271.4625,-52.3875,0.0,top
SW13,290.5125,-52.3875,0.0,top
SW14,309.5625,-52.3875,0.0,top
SW15,333.375,-52.3875,0.0,top
SW16,357.1875,-52.3875,0.0,top
SW17,40.48125,-71.4375,0.0,top
SW18,66.675,-71.4375,0.0,top
SW19,85.725,-71.4375,0.0,top
SW2,61.9125,-52.3875,0.0,top
SW20,104.775,-71.4375,0.0,top
SW21,123.825,-71.4375,0.0,top
SW22,142.875,-71.4375,0.0,top
SW23,171.45,-71.4375,0.0,top
SW24,190.5,-71.4375,0.0,top
SW25,209.55,-71.4375,0.0,top
SW26,238.125,-71.4375,0.0,top
SW27,257.175,-71.4375,0.0,top
SW28,276.225,-71.4375,0.0,top
SW29,295.275,-71.4375,0.0,top
SW3,80.9625,-52.3875,0.0,top
SW30,314.325,-71.4375,0.0,top
SW31,345.28125,-71.4375,0.0,top
SW32,42.8625,-90.4875,0.0,top
SW33,71.4375,-90.4875,0.0,top
SW34,90.4875,-90.4875,0.0,top
SW35,109.5375,-90.4875,0.0,top
SW36,128.5875,-90.4875,0.0,top
SW37,147.6375,-90.4875,0.0,top
SW38,176.2125,-90.4875,0.0,top
SW39,195.2625,-90.4875,0.0,top
SW4,100.0125,-52.3875,0.0,top
SW40,214.3125,-90.4875,0.0,top
SW41,242.8875,-90.4875,0.0,top
SW42,261.9375,-90.4875,0.0,top
SW43,280.9875,-90.4875,0.0,top
SW44,300.0375,-90.4875,0.0,top
SW45,319.0875,-90.4875,0.0,top
SW46,340.51875,-90.4875,0.0,top
SW47,366.7125,-95.25,0.0,top
SW48,38.1,-109.5375,0.0,top
SW49,61.9125,-109.5375,0.0,top
SW5,119.0625,-52.3875,0.0,top
SW50,83.34375,-109.5375,0.0,top
SW51,107.15625,-109.5375,0.0,top
SW52,150.01875,-114.3,0.0,top
SW53,190.5,-114.3,0.0,top
SW54,230.98125,-114.3,0.0,top
SW55,273.84375,-109.5375,0.0,top
SW56,297.65625,-109.5375,0.0,top
SW57,321.46875,-109.5375,0.0,top
SW58,347.6625,-114.3,0.0,top
SW59,366.7125,-114.3,0.0,top
SW6,138.1125,-52.3875,0.0,top
SW60,385.7625,-114.3,0.0,top
SW7,166.6875,-52.3875,0.0,top
SW8,185.7375,-52.3875,0.0,top
SW9,204.7875,-52.3875,0.0,top
